title,address,operation,contact,location_detail,hashtag,menu
헤어20J,서울 동작구 동작대로27가길 36 (우)07008,,,,[],
블루클럽 사당점,서울 관악구 남부순환로 2062 1층 (우)08806,"매일 10:00 ~ 20:00
닫기",,02-3471-0879 대표번호,[],
박승철헤어스투디오 방배점,서울 서초구 방배로 104 인혜빌딩 2층 (우)06665,매일 10:30 ~ 21:00,,02-523-9094 대표번호,[],
박준뷰티랩,서울 서초구 서초대로22길 11 (우)06672,,,,[],
블루클럽 방배점,서울 서초구 방배로 116 (우)06664,,02-584-1733,,[],
로이드밤 사당역점,서울 동작구 동작대로7길 4 2층 (우)07015,"매일 10:00 ~ 21:00
닫기",,02-523-5290 대표번호,[],
헤어더뷰 이수점,서울 동작구 동작대로 107 2층 (우)07008,,02-535-6262,#카카오헤어샵 #제로페이,"['#카카오헤어샵', '#제로페이']",
쓰담스타일을담다 M 이수점,서울 서초구 방배천로18길 11 상가B동 106호 (우)06676,,02-523-6941,#제로페이,['#제로페이'],
이철헤어커커 방배점,서울 서초구 방배로 93 보령빌딩 2층 2호 (우)06686,,02-2055-2326,#카카오헤어샵 #제로페이,"['#카카오헤어샵', '#제로페이']",
살롱드키코 이수역점,서울 서초구 서초대로 3-4 디오슈페리움1차 1층 101-2호 (우)06568,"월~금 11:00 ~ 21:00
닫기",,02-6396-4205 대표번호,[],
너만봄헤어,서울 동작구 사당로29가길 6 1층 102호 (우)07008,,02-6449-2187,,[],
굿뉴스바버샵,서울 서초구 도구로 123-2 (우)06569,,,,[],
진미장살롱,서울 서초구 서초대로 17 (우)06569,,02-6445-9199,#제로페이,['#제로페이'],
커즈헤어 사당역점,서울 서초구 동작대로 56 (우)06677,,,,[],
라라엘헤어,서울 동작구 사당로 243 3층 (우)07005,,02-583-0128,#제로페이,['#제로페이'],
LEMIT르미트,서울 동작구 동작대로 119 5층 (우)07008,"화~일 10:30 ~ 20:30
닫기",,02-534-3591 대표번호,[],
재현하다,서울 서초구 방배천로24길 11 (우)06675,,,,[],
에니스모어헤어 이수역점,서울 동작구 사당로 282 2층 (우)07013,,,,[],
아름디헤어 이수역점,서울 서초구 서초대로3길 10-2 1층 (우)06569,"화요일
닫기",,010-6600-3558 대표번호,[],
리소헤어 이수역점,서울 동작구 동작대로 123 2층 (우)07008,매일 11:00 ~ 22:00,,02-534-2454 대표번호,[],
하루,서울 서초구 청두곶7길 21 1층 (우)06691,"화~일 10:00 ~ 20:00
닫기",02-6368-3145,,[],
이훈ALL30000,서울 동작구 동작대로 71 (우)07013,,,,[],
하이리헤어,서울 서초구 방배천로6길 33-1 (우)06691,,,,[],
이진헤어 본점,"서울 동작구 사당로 300 이수자이 2층 223,224호 (우)07013","월~토 10:00 ~ 21:00
닫기",,02-523-8189 대표번호,[],
에이컨셉 이수점,서울 동작구 동작대로 103 (우)07008,,02-535-4425,#카카오헤어샵 #제로페이,"['#카카오헤어샵', '#제로페이']",
핑크헤어,서울 동작구 사당로28길 13 (우)07013,,,,[],
이훈plan30000 방배역점,서울 서초구 효령로 115 2층 (우)06686,"월~토 10:00 ~ 20:00
닫기",,02-581-9207 대표번호,[],
살롱드여운 이수역점,서울 동작구 동작대로27가길 48 보미빌딩 4층 (우)07008,"매일 10:30 ~ 20:00
닫기",02-533-2437,#제로페이,['#제로페이'],
제오헤어 이수역점,서울 서초구 동작대로 108 디오슈페리움2 2층 201호 (우)06568,매일 10:00 ~ 21:00,,02-533-4522 대표번호,[],
하리미헤어,서울 동작구 동작대로5길 20 2층 (우)07015,"화~일 11:00 ~ 20:00
닫기",,010-2141-4646 대표번호,[],
오다헤어 이수점,서울 동작구 동작대로27길 11 (우)07008,,,,[],
가든미용실,서울 동작구 동작대로15길 96 (우)07012,,,,[],
살롱라인,서울 동작구 동작대로33길 7 1층 (우)06997,"화~일 10:00 ~ 20:00
닫기",,070-7799-6375 대표번호,[],
숫컷 이수점,서울 동작구 동작대로29길 50 (우)06997,,,,[],
준오헤어 낙성대역점,서울 관악구 남부순환로 1931 케이타워 2층 (우)08801,"매일 10:00 ~ 21:30
닫기",,02-875-0605 대표번호,[],
헤어스토리,서울 서초구 서초대로1길 15 1층 102호 (우)06567,,,,[],
헤어마시멜로 방배점,서울 서초구 효령로27길 35 2층 (우)06685,"월~토 10:30 ~ 20:30
닫기",,02-522-5990 대표번호,[],
심비디움,서울 서초구 방배로23길 14 (우)06672,,,,[],
김민헤어,서울 동작구 동작대로9나길 17 (우)07015,,,,[],
온더에이치,서울 서초구 방배로15길 7 1층 101호 (우)06683,"월~금 10:00 ~ 20:00
닫기",,02-584-6845 대표번호,[],
헤어메세지,서울 서초구 청두곶13길 21 (우)06677,,,,[],
서로헤어,서울 서초구 동광로12가길 7 1층 (우)06568,,02-6014-4616,,[],
언니네헤어샵,서울 동작구 사당로16길 28 (우)07010,,,,[],
부엔헤어샵 이수점,서울 서초구 방배천로4안길 84 101호 (우)06677,,010-5532-7954,#카카오헤어샵 #제로페이,"['#카카오헤어샵', '#제로페이']",
이다헤어샵,서울 동작구 동작대로9가길 1 (우)07015,매일 10:30 ~ 22:00,070-4235-0828,#제로페이,['#제로페이'],
김민희헤어클럽,서울 동작구 사당로27길 56 (우)07007,,,,[],
이채영헤어,서울 서초구 서초대로1길 6 (우)06568,,,,[],
살랑,서울 서초구 방배천로18길 11 방배롯데캐슬아르떼상가 A동 102호 (우)06676,,02-522-5143,#제로페이,['#제로페이'],
끄댕이 사당역점,서울 동작구 동작대로5길 13 양재빌딩 2층 (우)07015,,0507-1327-9425,#카카오헤어샵 #제로페이,"['#카카오헤어샵', '#제로페이']",
차홍룸 방배점,서울 서초구 방배로 103 2층 (우)06683,매일 10:00 ~ 19:00,,02-523-3655 대표번호,[],
수헤어,서울 서초구 방배천로6길 39-2 1층 (우)06691,,02-598-4225,#제로페이,['#제로페이'],
이젤,서울 서초구 방배중앙로25길 21 1층 (우)06558,,,,[],
윤스헤어카페,서울 동작구 동작대로29길 69 1층 (우)06999,"월~토 09:00 ~ 19:30
닫기",,02-3482-0306 대표번호,[],
메리엘살롱 이수점,서울 동작구 사당로 300 (우)07013,,,,[],
오땡큐헤어천염염색,서울 서초구 방배중앙로21길 48 (우)06559,,,,[],
문헤어샵,서울 서초구 서초대로1길 14 (우)06567,,,,[],
헤어살롱Rebook,서울 서초구 방배천로20길 17 (우)06675,,,,[],
감동미장원123,서울 서초구 방배천로2안길 120 경현행복한집 1층 102호 (우)06677,,,,[],
디케이헤어,서울 서초구 방배중앙로27길 36 1층 (우)06554,"월~토 10:00 ~ 21:00
닫기",02-534-2977,#제로페이,['#제로페이'],
헤어엠코드 총신대점,서울 동작구 동작대로 127 2층 A호 (우)07008,,02-866-6603,,[],
송재원헤어샵,서울 서초구 동광로12가길 25 1층 (우)06568,,,"02-599-3631 대표번호
다른 번호",[],
앨빈헤어살롱,서울 서초구 도구로 116-1 (우)06570,,,,[],
꼼모아헤어 본점,서울 서초구 방배로23길 31-2 1층 꼼모아헤어 (우)06680,매일 10:30 ~ 21:00,,010-5788-8426 대표번호,[],
서래미장 방배본점,서울 서초구 동광로 56-1 101호 (우)06562,"화요일
닫기",010-2739-0147,#내방역미용실 #미용실 #방배동미용실 #방배역미용실 #이수역미용실 #이동약자접근 #카카오페이 #제로페이,"['#내방역미용실', '#미용실', '#방배동미용실', '#방배역미용실', '#이수역미용실', '#이동약자접근', '#카카오페이', '#제로페이']",
헤어컴미용실,서울 동작구 동작대로29다길 15 (우)06997,,,,[],
우송원헤어,서울 동작구 사당로30길 77 (우)07014,,,예약가능,[],
마지끄유,서울 서초구 방배로13길 41-22 1층 (우)06685,"매일 11:00 ~ 22:00
닫기",,010-2834-5639 대표번호,[],
