title,address,operation,contact,location_detail,hashtag,menu
샤인뮤직음악연습실,서울 동작구 사당로 277 석승빌딩 2층 (우)07006,매일 08:00 ~ 20:00 (상담시간),,010-7146-4525 대표번호,[],
한국발레하우스,서울 서초구 효령로 81 (우)06688,,,,[],
스카이에듀영수학원,서울 서초구 서초대로1길 30 현대1차아파트 A상가 2층 (우)06567,,02-3481-0003,#제로페이,['#제로페이'],
선앤미컬러리스트,서울 서초구 방배천로26길 25 유성빌딩 3층 (우)06569,,,,[],
방배바이올린,서울 서초구 도구로 123-2 2층 (우)06569,,,,[],
하늘꿈피아노교습소,서울 서초구 서초대로1길 15 (우)06567,,,,[],
스카이입시교육학원,서울 동작구 동작대로 149 4층 (우)06996,"매일 10:00 ~ 21:00
닫기",,02-535-6173 대표번호,[],
서순영국어논술학원,서울 서초구 동작대로 74 3층 (우)06676,,02-523-4005,#제로페이,['#제로페이'],
유카리일본어학원,서울 서초구 방배천로2안길 50 (우)06692,,,,[],
문재호 국어논술,서울 서초구 동광로12가길 27 3층 (우)06568,,02-594-8159,#제로페이,['#제로페이'],
루트수학교실,서울 서초구 방배천로34길 22 (우)06564,,,,[],
메트로간호종합학원 이수점,서울 동작구 동작대로 109 2층 (우)07008,,02-594-4200,,[],
나리발레무용학원,서울 동작구 동작대로35길 18 (우)06995,,,,[],
윤영숙수학전문학원,서울 서초구 동작대로 188 액센빌딩 3층 (우)06559,,,,[],
아리엘발레핏필라테스,서울 서초구 서초대로 13 방배마에스트로상가 지하 1층 B107호 (우)06569,"월~금 14:30 ~ 22:00
닫기",,,[],
대성마이맥,서울 서초구 방배로 181 (우)06572,,,,[],
사물놀이난타교육원,서울 동작구 사당로20나길 2 지하 (우)07011,,010-5227-5223,,[],
예술해,서울 서초구 방배천로18길 46 1층 (우)06677,월~금 10:00 ~ 18:30 (저녁 수업이 있는 경우 21:00까지),,010-2374-8863 대표번호,[],
세지말스피치학원,서울 동작구 동작대로 71 태농빌딩 5층 (우)07013,,02-2055-3788,#제로페이,['#제로페이'],
빅토리영어학원,서울 서초구 서초대로 30 (우)06675,,,,[],
OK영어학원,서울 동작구 동작대로 141 3층 (우)06997,,,,[],
예음피아노,서울 서초구 서초대로7길 9 (우)06570,,,,[],
한올국어학원,서울 서초구 동작대로 172 (우)06559,,02-3477-1053,,[],
소리여울국악학원 사당점,서울 동작구 동작대로 71 태농빌딩 502호 (우)07013,,02-525-4012,#제로페이,['#제로페이'],
오세란재즈피아노학원,서울 서초구 동광로12가길 2 (우)06565,,,,[],
레히연기로드학원,서울 서초구 방배천로16길 17 3층 (우)06677,,02-525-2951,#제로페이,['#제로페이'],
이비에스 뷰티아카데미학원,서울 서초구 동작대로 130 (우)06567,,,,[],
두란노서예교습소,서울 서초구 도구로 118 (우)06570,,,,[],
사당요양보호사교육원,서울 동작구 남부순환로 2053 (우)07024,매일 08:30 ~ 22:30,,"02-525-7745 대표번호
다른 번호",[],
파고다차이랑,서울 서초구 동작대로 118 (우)06568,,,,[],
릴드당스,서울 서초구 서초대로26길 19 브라운스톤상가 2층 201호 (우)06664,"매일 10:00 ~ 22:00
매일 휴게시간 14:30 ~ 18:00
닫기",,010-7916-2709 대표번호,[],
위드피아노 사당점,서울 동작구 남부순환로 2073 진영빌딩 1층 (우)07025,"매일 12:00 ~ 23:00
매일 휴게시간 17:00 ~ 18:00",,010-2544-9374 대표번호,[],
카이로프랙틱코리아,서울 서초구 방배천로 148 3층 (우)06564,,02-583-5975,,[],
미쌤영어교습소,서울 서초구 동광로12가길 21 (우)06568,,,,[],
이루다방배어학원,"서울 서초구 방배로31길 36 지앤지 2, 3층 (우)06562","월~금 12:30 ~ 20:00
닫기",,02-6248-1500 대표번호,[],
YBM잉글루 방배 제1캠퍼스,서울 서초구 서초대로19길 94 3층 (우)06562,,,,[],
클라라피아노학원,서울 동작구 동작대로13길 21 1층 (우)07014,,,,[],
와이제이에뚜왈발레학원,서울 서초구 방배중앙로15길 40 (우)06564,,,,[],
프랜시스파커 서초,서울 서초구 효령로 49 백제빌딩 (우)06689,월~금 09:00 ~ 18:00,,02-521-1100 대표번호,[],
드럼타운,서울 서초구 방배천로 155 (우)06564,,,,[],
안스스피치,서울 서초구 동광로 28 (우)06565,,,,[],
파머스영어,서울 서초구 방배천로6길 42 2층 (우)06692,,02-522-7060,#제로페이,['#제로페이'],
웨스트민스터영어학원,서울 서초구 동광로12가길 6 3층 (우)06565,"월,화,목,금 15:00 ~ 22:00",02-6082-1326,#제로페이,['#제로페이'],
임기세수학학원,서울 동작구 동작대로 139 2층 (우)06997,,02-534-5559,,[],
생각하는황소 동작,서울 동작구 동작대로 153 원옥빌딩 3층 (우)06996,,,,[],
