title,address,operation,contact,location_detail,hashtag,menu
신사펍 이수점,서울 동작구 동작대로 129 4층 (우)06997,"월~금 17:00 ~ 24:00
닫기",,#데이트코스 #루프탑있는 #분위기좋은 #소개팅 #수제맥주 #피맥 #제로페이,"['#데이트코스', '#루프탑있는', '#분위기좋은', '#소개팅', '#수제맥주', '#피맥', '#제로페이']","['치즈꾸덕 맥인치즈\n16,900', '로제 소세지 스튜\n18,900', '감바스\n18,900', '쉬림프 롤 라자냐\n18,900', '스파이시 크림 떡볶이\n14,900']"
삼육가 사당역1호점,서울 서초구 방배천로 10 1층 (우)06693,"매일 11:30 ~ 23:00
매일 휴게시간 15:00 ~ 17:00",,"02-582-0102 대표번호
다른 번호",[],"['추천\n꽃삼겹 (180g)\n18,000\n삼육가의 대표 돼지고기 메뉴, 100번 이상의 칼집으로 부드러워요', '꽃삼겹 세트 (2인)\n43,000\n꽃삼겹 (360g)+된장/김치찌개 중 택1 (+공기밥)', '꽃목삼 세트 (2-3인)\n62,000\n꽃삼겹 360g + 꽃목살 150g + 된장/김치 찌개 중 택1(+공깃밥)', '추천\n빠다꽃등심 (150g)\n33,000\n소고기 등심의 가장자리 부분을 제거한 식감이 부드러운 부위 버터의 풍미를 가미한 삼육가의 대표 소고기 메뉴', '안창살 (150g)\n31,000\n씹는 맛이 좋고, 고소한 육향의 진한 맛을 느낄 수 있는 소고기 매니아들을 위한 한정 메뉴', '얼큰이 돼지전골 (소)\n20,000\n돼지고기를 넉넉히 넣고 육수를 우린 전골 형식의 얼큰한 식사 메뉴 (+공깃밥)', '꽃목살 (150g)\n19,000\n마블링이 좋아 부드럽고, 돼지고기의 풍미를 느낄 수 있어요', '한우 시골 된장찌개\n9,000\n시골 된장에 한우를 듬뿍 넣어 진하고 구수한 맛이 나 밥에 비벼 먹으면 일품 (+공깃밥 포함)', '묵은지 김치찌개\n9,000\n직접 담근 집김치에 돼지고기를 푸짐하게 놓어 끓인 김치찌개 (+공깃밥 포함)', '뚝배기 불고기 (+공깃밥)\n9,000\n감칠맛 나는 육수로 맛을 낸 푸짐한 소불고기', '한우육회비빔밥\n11,000\n직접 도축한 한우에서만 얻을 수 있는 신선함으로 무장한 육회 비빔밥', '한우 육회 (200g)\n25,000']"
이수통닭 본점,"서울 서초구 방배천로 92 세앙아르비체 102동 107,108호 (우)06675",매일 15:00 ~ 23:00,02-581-8892,#제로페이,['#제로페이'],"['이수 생생 통닭+파골뱅이\n27,000', '후라이드 치킨+파골뱅이\n28,000', '반반 치킨+파골뱅이\n29,000', '양념 치킨+파골뱅이\n29,000', '깐풍 치킨+파골뱅이\n29,000']"
낙성곱창,서울 동작구 동작대로19길 60 (우)07013,"매일 14:00 ~ 00:00
닫기",02-3474-5777,,[],"['모듬\n23,000', '곱창\n23,000', '대창\n23,000', '막창\n23,000', '염통\n15,000']"
그릴진,서울 동작구 동작대로27다길 31 세양그레이스빌 1층 101호 (우)07008,매일 16:30 ~ 01:00,,02-532-4135 대표번호,[],[]
남미플랜트랩,서울 서초구 방배천로4안길 55 2층 (우)06677,"매일 12:00 ~ 21:00
월~금 휴게시간 16:00 ~ 17:30
닫기",,02-522-1276 대표번호,[],"['추천\n치즈야채피자\n16,000', '후무스피자\n16,000', '스테이크하와이안피자\n17,000', '감자웨지\n7,000', '추천\n파스타베르데\n14,000', '비건먹물파스타\n14,000', '라구리가토니\n15,000', '트러플버섯리조또\n16,000', '깻잎페스토리조또', '알리오올리오스파게티\n13,000', '남미토마토페투치네\n14,000', '로제크림페투치네\n14,000', '마르게리따피자\n16,000', '오렌지카르파초샐러드\n13,000', '후무스플래터\n10,000']"
리에또,서울 서초구 방배천로4안길 20 2층 (우)06692,"매일 11:00 ~ 21:20
월~금 휴게시간 15:00 ~ 17:00
닫기",02-581-5291,#데이트코스 #소개팅 #점심식사 #코스요리 #제로페이,"['#데이트코스', '#소개팅', '#점심식사', '#코스요리', '#제로페이']","['마르게리따\n12,300', '만조 (200g)\n18,800', '알리오 올리오\n11,200', '봉골레\n12,100', '바질마레\n12,500']"
디피스트,서울 동작구 동작대로27길 31 2층 (우)07008,"월,화,수,금,토,일 11:00 ~ 23:00
닫기",,#분위기좋은,['#분위기좋은'],"['아메리카노\n3,500', '라떼\n4,000', '카카오 카푸치노\n4,000', 'Black Coffee\n5,000', 'Cafe Lait (Hot)\n5,500']"
청와옥 사당직영점,서울 동작구 동작대로 71 1층 (우)07013,매일 08:00 ~ 22:00,02-588-0885,#안심식당 #아침식사 #이동약자접근,"['#안심식당', '#아침식사', '#이동약자접근']",[]
올라아보 이수본점,서울 동작구 사당로 300 이수자이 1층 116호 (우)07013,"월~금 11:30 ~ 22:00
월~금 휴게시간 15:00 ~ 17:00
닫기",,"0507-1320-1120 대표번호
더보기",[],"['아보카도 그릴파히타 (2~3인용)\n34,000', '아보카도 연어포케 (생연어덮밥)\n14,800', '아보카도 고기 부리또 볼\n12,500', '아보카도 치킨 퀘 사디아\n13,500', '아보카도 루꼴라 베이컨 퀘 사디아\n14,500']"
단아한정식,서울 동작구 동작대로27가길 44 2층 (우)07008,매일 11:30 ~ 22:00,,"02-532-3945 대표번호
다른 번호",[],[]
개화,서울 서초구 동작대로 86 동주빌딩 지하 1층 (우)06675,"매일 11:00 ~ 22:00
닫기",,"02-581-5005 대표번호
더보기",[],"['유니자장면\n6,000', '짬뽕\n7,000', '짬뽕밥\n7,000', '새우볶음밥\n8,000', '호유우육면\n30,000']"
초동집 본점,서울 서초구 방배천로 22 (우)06692,"매일 11:00 ~ 22:00
닫기",,"02-585-2722 대표번호
더보기",[],[]
바른식 시골보쌈&감자옹심이 사당역별관점,서울 서초구 방배천로 12 (우)06693,"매일 11:30 ~ 23:00
닫기",,02-6959-2830 대표번호,[],"['시골보쌈 (2인)\n36,000', '모둠보쌈\n63,000', '반반보쌈 (2인)\n39,000', '보족세트\n49,000', '찢어먹는 족발\n38,000']"
원조쯔왕돈까스,"서울 동작구 동작대로23길 33 1,2층 (우)07013","매일 11:00 ~ 21:30
매일 휴게시간 15:30 ~ 17:00",,,[],"['쯔왕돈까스\n9,800', '과카몰리치즈돈까스\n14,000', '비후까스\n12,200', '함박스테이크\n10,000', '김치볶음밥&달걀프라이\n7,500', '매콤토마토스파게티\n8,000', '치즈폭탄오븐스파게티\n12,000']"
리틀크레이지피자,서울 동작구 동작대로27길 9 2층 (우)07008,"화요일
닫기",,,[],"['갈릭스페셜 피자 (R)\n15,900', '고구마피자 (R)\n15,900', '슈프림피자 (R)\n14,900', '페퍼로니 (R)\n14,900', '하와이언피자 (R)\n14,900']"
유정우함흥냉면,서울 동작구 동작대로29다길 7-1 (우)06997,"매일 11:00 ~ 20:20
닫기",02-3478-0105,#안심식당 #이동약자접근 #제로페이,"['#안심식당', '#이동약자접근', '#제로페이']",[]
초와밥,서울 동작구 동작대로5길 8 (우)07015,"월~토 11:30 ~ 22:30
월~금 휴게시간 14:30 ~ 16:30
닫기",,02-523-5937 대표번호,[],[]
강고집 사당본점,서울 서초구 방배천로4안길 6 1층 (우)06692,"월~금 16:30 ~ 23:00
닫기",02-6489-9589,#사당단체 #사당맛집 #사당모임 #오리고기 #훈제오리 #친목모임 #회식장소 #제로페이,"['#사당단체', '#사당맛집', '#사당모임', '#오리고기', '#훈제오리', '#친목모임', '#회식장소', '#제로페이']","['훈제오리,삼겹 3인세트\n59,000', '훈제오리,삼겹 2인세트\n39,000', '새콤달콤 가오리무침\n15,000', '칼칼하고 푸짐한 육개장\n7,000', '차돌해장라면\n4,500']"
도너츠윤 방배점,서울 서초구 동광로12가길 12 1층 (우)06567,매일 11:00 ~ 18:00,,070-8993-6194 대표번호,[],"['패밀리박스 16개\n30,000', 'CREAM9 BOX\n17,000', 'JMT BOX\n15,000']"
농부쌈밥,서울 동작구 사당로30길 19 (우)07013,"월~토 11:00 ~ 21:30
닫기",02-521-8005,#제로페이,['#제로페이'],"['제육쌈밥\n8,000', '소불고기쌈밥\n10,000', '부대찌개\n6,000', '생삼겹살 (200g)\n12,000', '오리로스 (200g)\n10,000']"
정작가의막걸리집,서울 동작구 동작대로33가길 5 1층 3호 (우)06996,"월~금 17:00 ~ 01:00
닫기",,010-8986-1048 대표번호,[],"['새우전\n19,000', '먹태\n16,000', '추천\n바지락술찜+파스타\n23,000', '해물파전\n22,000', '김부각\n12,000', '추천\n순대크림스튜\n19,000', '수소문\n47,000', '감자전\n22,000', '문어숙회\n변동가격', '참소라숙회\n변동가격']"
갈비연구소,서울 동작구 동작대로23길 10 1층 (우)07013,"월~토 16:30 ~ 22:00
닫기",02-6012-0101,#안심식당 #친목모임 #회식장소 #제로페이,"['#안심식당', '#친목모임', '#회식장소', '#제로페이']",[]
요란한부엌,서울 동작구 사당로30길 126 1층 (우)07015,"월~금 17:00 ~ 01:00
닫기",02-582-6011,#안심식당,['#안심식당'],[]
부엌쟁이,서울 동작구 동작대로23길 31 (우)07013,"매일 11:30 ~ 22:00
매일 휴게시간 15:00 ~ 17:00",02-6205-3340,#안심식당 #제로페이,"['#안심식당', '#제로페이']",[]
남궁야,서울 서초구 방배천로4안길 10 (우)06692,"월~금 12:00 ~ 22:30
닫기",02-581-9252,#점심식사 #친목모임 #회식장소 #제로페이,"['#점심식사', '#친목모임', '#회식장소', '#제로페이']","['오리누룽지백숙 (한마리)\n61,000\n2시간전 예약', '북경오리+전골 (한마리)\n60,000', '북경오리(소)+전골 (2인에한함)\n37,000', '매운갈비찜\n60,000', '오리백숙 (한마리)\n61,000', '매콤한오리무침\n25,000']"
어사출또 이수역점,서울 동작구 동작대로27나길 21 1층 (우)07008,"월,화,수,목,일 12:00 ~ 02:00
닫기",02-533-5475,#이수역맛집 #이수역횟집 #총신대입구역맛집 #총신대입구역회식 #총신대입구역횟집 #점심식사 #점심특선 #회식장소 #제로페이,"['#이수역맛집', '#이수역횟집', '#총신대입구역맛집', '#총신대입구역회식', '#총신대입구역횟집', '#점심식사', '#점심특선', '#회식장소', '#제로페이']","['추천\n광어(2인)\n변동가격\n어사출또 주문 1순위', '추천\n우럭(2인)\n변동가격\n국민 횟감 강추 메뉴', '명태양념구이\n변동가격\n어디서도 볼 수 없었던 어사출또의 시그니처', '새우튀김\n변동가격\n오동통한 새우살이 입안에서 사르륵', '해산물모둠\n변동가격\n산낙지+전복회+멍게+추천']"
태양커피,서울 서초구 서초대로25길 55 1층 (우)06586,"월~금 09:00 ~ 21:00
닫기",,0507-1426-8181 대표번호,[],[]
월량,서울 서초구 서초대로 28 장현빌딩 1층 (우)06675,"화~금 11:30 ~ 21:00
화~일 휴게시간 14:30 ~ 17:00
닫기",,0507-1361-0214 대표번호,[],"['월량 짜장면\n8,000', '월량 짬뽕\n10,000', '월량 볶음밥\n9,000', '월량 탕수육\n25,000', '유린기\n30,000']"
조가네갑오징어 사당점,서울 동작구 남부순환로271길 24 (우)07025,매일 10:00 ~ 22:00,,02-3472-0108 대표번호,[],[]
가마솥손두부,서울 동작구 남부순환로271길 20 (우)07025,"월~금 11:20 ~ 22:00
닫기",02-3472-2202,#안심식당 #친목모임,"['#안심식당', '#친목모임']",[]
쟝블랑제리,"서울 동작구 동작대로23길 8 1, 2층 (우)07013",매일 10:00 ~ 21:00,,,[],[]
페니힐스,"서울 동작구 동작대로1길 10-14 1,2층 (우)07025",매일 12:00 ~ 21:00 (3층 운영시간 - 13:00~21:00),,#로스팅전문 #브런치카페 #빈티지분위기 #핸드드립전문점 #제로페이,"['#로스팅전문', '#브런치카페', '#빈티지분위기', '#핸드드립전문점', '#제로페이']","['아메리카노\n4,000', '카페라떼\n4,500', '바닐라라떼\n5,000', '자몽티\n5,500', '자몽에이드\n6,000']"
스타벅스 이수역점,서울 서초구 동작대로 112 한신 휴플러스 1층 (우)06568,"화~금 07:30 ~ 22:00
닫기",,1522-3232 대표번호,[],"['리저브 나이트로\n7,500\n나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!\n부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.', '제주 한라봉 말차 블렌디드\n7,500\n청정한 제주를 느낄 수 있도록\n제주산 말차, 한라봉을 사용한\n시원하고 달콤한 프로즌 티', '플럼 선셋 유스베리 티\n7,000\n익숙한 자두와 상큼한 유스베리 티의 조합으로\n일상적이지만 아름답고 특별한 선셋을 표현한 음료', '바닐라 빈 푸딩 블렌디드 위드 콜드 브루\n6,300\n바닐라 빈이 콕콕 박힌 부드러운 푸딩과 산뜻한 콜드 브루의 만남!\n진한 바닐라 풍미를 느낄 수 있는 커피 블렌디드', '퍼플 드링크 위드 망고 용과 스타벅스 리프레셔\n5,900\n망고 용과와 코코넛 밀크가 달콤하고 부드럽게 조화된 맛에\n가볍게 에너지 부스팅을 할 수 있는 음료', '라이트 키위 라임 블렌디드\n6,300\n여름의 나른함을 짜릿하게 날려버릴 블렌디드\n새콤한 키위 라임과 쫄깃한 곤약 젤리로 가볍게 리프레쉬 할 수 있는 음료\n*천연 대체 감미료가 함유되어 100kcal로(T 기준) 더욱 라이트하게 즐기실 수 있습니다.\n*취향에 따라 클래식 시럽을 무료로 추가 하실 수 있습니다.', '망고 용과 레모네이드 스타벅스 리프레셔\n5,900\n망고 용과와 레모네이드가 달콤 상큼하게 조화된 맛에\n가볍게 에너지 부스팅을 할 수 있는 음료', '얼 그레이 카카오 초코 프라푸치노\n6,500\n바리스타가 된 춘식이 초콜릿 토핑과 카카오 초콜릿 칩,\n그리고 티바나 얼그레이 티를 더해\n누구나 특별한 달콤함을 즐길 수 있는 프라푸치노 음료입니다.', '오늘의 커피\n4,200\n신선하게 브루드(Brewed)되어 원두의 다양함이 살아있는 커피', '카푸치노\n5,000\n풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료', '카페 라떼\n5,000\n풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼', '카페 모카\n5,500\n진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피', '카페 아메리카노\n4,500\n진한 에스프레소와 뜨거운 물을 섞어 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피', '카라멜 마키아또\n5,900\n향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료', '화이트 초콜릿 모카\n5,900\n달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피', '스타벅스 돌체 라떼\n5,900\n스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼', '자바 칩 프라푸치노\n6,300\n커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 스타벅스에서만 맛볼 수 있는 프라푸치노', '망고 바나나 블렌디드\n6,300\n(Grande Only) 달콤한 망고 패션 프루트 주스에\n바나나 1개가 통째로 들어간 신선한 블렌디드', '아이스 자몽 허니 블랙 티\n5,700\n새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화', '자몽 허니 블랙 티\n5,700\n새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화', '콜드 브루\n4,900\n스타벅스 바리스타의 정성으로 탄생한 콜드 브루!\n\n콜드 브루 전용 원두를 차가운 물로 추출하여 한정된 양만 제공됩니다.\n깊은 풍미의 새로운 커피 경험을 즐겨보세요.', '', '', '', '']"
주,서울 서초구 동광로19길 16 (우)06561,"화~금 11:30 ~ 22:00
화~금 휴게시간 15:00 ~ 17:00
닫기",02-3482-3374,#카카오페이 #제로페이,"['#카카오페이', '#제로페이']","['삼선짜장면\n10,000', '삼선짬뽕\n12,000', '삼선우동\n12,000', '삼선울면\n12,000', '기스면\n8,000', '삼선볶음밥\n12,000', '새우볶음밥\n11,000', '게살볶음밥\n13,000', '잡채밥\n13,000', '마파두부밥\n13,000', '해물덮밥\n18,000', '양장피잡채\n48,000', '마파두부\n30,000', '전가복\n140,000', '해삼전복\n170,000', '마라전복\n90,000', '팔보채\n45,000', '류산슬\n45,000', '칠리중새우\n48,000', '깐풍중새우\n48,000']"
정담은,서울 서초구 방배천로2길 15 (우)06693,"월~토 11:30 ~ 22:00
닫기",,02-877-4000 대표번호,[],"['보쌈 (중)\n38,000', '훈제오리\n48,000', '매콤갈릭전골\n48,000', '문어보쌈\n60,000', '전복해물코다리찜\n65,000']"
도쿄빙수 이수점,"서울 동작구 동작대로27길 38 1층 103,104호 (우)07008","매일 12:00 ~ 22:00
닫기",,02-3482-0503 대표번호,[],"['시크한 오레오 빙수\n10,500']"
방배양곱창,서울 동작구 동작대로23길 27 (우)07013,"월~금 16:00 ~ 24:00
닫기",02-6406-0079,#제로페이,['#제로페이'],"['특양\n26,000', '우설\n28,000', '곱창\n23,000', '대창\n23,000', '홍창\n22,000', '염통\n17,000', '양볶음밥\n7,000', '곱창전골\n35,000']"
속초어시장 방배점,서울 서초구 방배천로2길 7 1층 (우)06693,"월~토 11:30 ~ 05:00
닫기",02-523-0511,#개별룸 #친목모임 #회식장소,"['#개별룸', '#친목모임', '#회식장소']","['광어 (소)\n15,000', '우럭 (소)\n15,000', '광어세꼬시\n20,000', '활어물회\n25,000', '오징어회\n18,000', '고등어구이\n10,000']"
구름떡,서울 서초구 방배로33길 21 1층 (우)06562,"월~토 08:00 ~ 23:00
닫기",,"02-533-1530 대표번호
더보기",[],"['흑임자인절미\n9,000', '구름떡\n9,000']"
이수샤브샤브,서울 동작구 동작대로29길 8 2층 (우)06997,매일 11:00 ~ 24:00,02-536-3253,#친목모임,['#친목모임'],[]
