beauty_seq,mem_seq,beauty_name,beauty_locate,beauty_phone,beauty_content,beauty_score,beauty_hit,beauty_wdate,beauty_update
0,33,헤어20J,서울 동작구 동작대로27가길 36 (우)07008,02-1309-2031,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
1,28,블루클럽 사당점,서울 관악구 남부순환로 2062 1층 (우)08806,02-0720-1028,매일 10:00 ~ 20:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
2,29,박승철헤어스투디오 방배점,서울 서초구 방배로 104 인혜빌딩 2층 (우)06665,02-6372-0994,매일 10:30 ~ 21:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
3,26,박준뷰티랩,서울 서초구 서초대로22길 11 (우)06672,02-9410-9345,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
4,27,블루클럽 방배점,서울 서초구 방배로 116 (우)06664,02-584-1733,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
5,35,로이드밤 사당역점,서울 동작구 동작대로7길 4 2층 (우)07015,02-1038-3023,매일 10:00 ~ 21:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
6,29,헤어더뷰 이수점,서울 동작구 동작대로 107 2층 (우)07008,02-535-6262,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
7,34,쓰담스타일을담다 M 이수점,서울 서초구 방배천로18길 11 상가B동 106호 (우)06676,02-523-6941,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
8,31,이철헤어커커 방배점,서울 서초구 방배로 93 보령빌딩 2층 2호 (우)06686,02-2055-2326,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
9,30,살롱드키코 이수역점,서울 서초구 서초대로 3-4 디오슈페리움1차 1층 101-2호 (우)06568,02-1786-3664,월~금 11:00 ~ 21:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
10,32,너만봄헤어,서울 동작구 사당로29가길 6 1층 102호 (우)07008,02-6449-2187,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
11,27,굿뉴스바버샵,서울 서초구 도구로 123-2 (우)06569,02-3523-6937,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
12,29,진미장살롱,서울 서초구 서초대로 17 (우)06569,02-6445-9199,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
13,33,커즈헤어 사당역점,서울 서초구 동작대로 56 (우)06677,02-8031-4147,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
14,32,라라엘헤어,서울 동작구 사당로 243 3층 (우)07005,02-583-0128,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
15,34,LEMIT르미트,서울 동작구 동작대로 119 5층 (우)07008,02-2517-7354,화~일 10:30 ~ 20:30,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
16,33,재현하다,서울 서초구 방배천로24길 11 (우)06675,02-2733-7648,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
17,35,에니스모어헤어 이수역점,서울 동작구 사당로 282 2층 (우)07013,02-9320-0410,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
