edu_seq,mem_seq,edu_name,edu_locate,edu_phone,edu_content,edu_score,edu_hit,edu_wdate,edu_update
0,23,샤인뮤직음악연습실,서울 동작구 사당로 277 석승빌딩 2층 (우)07006,02-8925-8032,매일 08:00 ~ 20:00 (상담시간),1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
1,22,스카이입시교육학원,서울 동작구 동작대로 149 4층 (우)06996,02-8164-2220,매일 10:00 ~ 21:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
2,23,아리엘발레핏필라테스,서울 서초구 서초대로 13 방배마에스트로상가 지하 1층 B107호 (우)06569,02-9671-2802,월~금 14:30 ~ 22:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
3,25,예술해,서울 서초구 방배천로18길 46 1층 (우)06677,02-2090-4447,월~금 10:00 ~ 18:30 (저녁 수업이 있는 경우 21:00까지),2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
4,25,사당요양보호사교육원,서울 동작구 남부순환로 2053 (우)07024,02-4603-5200,매일 08:30 ~ 22:30,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
5,25,릴드당스,서울 서초구 서초대로26길 19 브라운스톤상가 2층 201호 (우)06664,02-0622-1139,"매일 10:00 ~ 22:00
매일 휴게시간 14:30 ~ 18:00",4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
6,23,위드피아노 사당점,서울 동작구 남부순환로 2073 진영빌딩 1층 (우)07025,02-1372-7760,"매일 12:00 ~ 23:00
매일 휴게시간 17:00 ~ 18:00",5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
7,24,이루다방배어학원,"서울 서초구 방배로31길 36 지앤지 2, 3층 (우)06562",02-4672-2008,월~금 12:30 ~ 20:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
8,22,프랜시스파커 서초,서울 서초구 효령로 49 백제빌딩 (우)06689,02-6119-2424,월~금 09:00 ~ 18:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
9,21,웨스트민스터영어학원,서울 서초구 동광로12가길 6 3층 (우)06565,02-6082-1326,"월,화,목,금 15:00 ~ 22:00",3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
10,21,리드인 방배으뜸점,서울 서초구 도구로 123-2 삼흥빌딩 1층 103호 (우)06569,02-6860-6302,매일 12:30 ~ 19:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
11,23,아람컴퓨터전문학원,서울 동작구 동작대로29길 91 우성2공구상가 404호 (우)06999,02-1858-1189,월~금 10:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
12,22,드라이빙존 운전면허 이수역점,서울 서초구 동작대로 90 인산빌딩 2층 (우)06675,010-6640-3005,월~금 11:00 ~ 21:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
13,21,입시전문서울연기학원,서울 동작구 동작대로 37 3층 (우)07015,02-3452-5451,매일 13:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
14,21,크레용미술,서울 서초구 청두곶3길 12 1층 102호 (우)06692,02-4704-5473,월~금 01:00 ~ 06:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
15,25,청담 국어논술전문학원,서울 서초구 서초대로 43 3층 (우)06570,02-0605-9885,일요일,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
16,21,DS보컬 서울이수점,서울 동작구 사당로26길 38 대림빌딩 3층 (우)07012,02-0795-8548,매일 11:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
17,22,도로시피아노스튜디오,서울 서초구 방배천로6길 3-10 3층 (우)06691,02-1554-3520,매일 00:00 ~ 24:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
