res_item_seq,res_seq,mem_seq,res_item_title,res_item_content,res_item_pic,res_item_price,res_item_wdate,res_item_update
0,0,6,치즈꾸덕 맥인치즈,맛있따,,16900,2023-05-25 10:16:00,2023-05-25 10:16:00
1,0,6,로제 소세지 스튜,맛있따,,18900,2023-05-25 10:16:00,2023-05-25 10:16:00
2,0,6,감바스,맛있따,,18900,2023-05-25 10:16:00,2023-05-25 10:16:00
3,0,6,쉬림프 롤 라자냐,맛있따,,18900,2023-05-25 10:16:00,2023-05-25 10:16:00
4,0,6,스파이시 크림 떡볶이,맛있따,,14900,2023-05-25 10:16:00,2023-05-25 10:16:00
6,1,2,꽃삼겹 세트 (2인),맛있따,,43000,2023-05-25 10:16:00,2023-05-25 10:16:00
7,1,2,꽃목삼 세트 (2-3인),맛있따,,62000,2023-05-25 10:16:00,2023-05-25 10:16:00
9,1,2,안창살 (150g),맛있따,,31000,2023-05-25 10:16:00,2023-05-25 10:16:00
10,1,2,얼큰이 돼지전골 (소),맛있따,,20000,2023-05-25 10:16:00,2023-05-25 10:16:00
11,1,2,꽃목살 (150g),맛있따,,19000,2023-05-25 10:16:00,2023-05-25 10:16:00
12,1,2,한우 시골 된장찌개,맛있따,,9000,2023-05-25 10:16:00,2023-05-25 10:16:00
13,1,2,묵은지 김치찌개,맛있따,,9000,2023-05-25 10:16:00,2023-05-25 10:16:00
14,1,2,뚝배기 불고기 (+공깃밥),맛있따,,9000,2023-05-25 10:16:00,2023-05-25 10:16:00
15,1,2,한우육회비빔밥,맛있따,,11000,2023-05-25 10:16:00,2023-05-25 10:16:00
16,1,2,한우 육회 (200g),맛있따,,25000,2023-05-25 10:16:00,2023-05-25 10:16:00
17,2,15,이수 생생 통닭+파골뱅이,맛있따,,27000,2023-05-25 10:16:00,2023-05-25 10:16:00
18,2,15,후라이드 치킨+파골뱅이,맛있따,,28000,2023-05-25 10:16:00,2023-05-25 10:16:00
19,2,15,반반 치킨+파골뱅이,맛있따,,29000,2023-05-25 10:16:00,2023-05-25 10:16:00
20,2,15,양념 치킨+파골뱅이,맛있따,,29000,2023-05-25 10:16:00,2023-05-25 10:16:00
21,2,15,깐풍 치킨+파골뱅이,맛있따,,29000,2023-05-25 10:16:00,2023-05-25 10:16:00
22,3,20,모듬,맛있따,,23000,2023-05-25 10:16:00,2023-05-25 10:16:00
23,3,20,곱창,맛있따,,23000,2023-05-25 10:16:00,2023-05-25 10:16:00
24,3,20,대창,맛있따,,23000,2023-05-25 10:16:00,2023-05-25 10:16:00
25,3,20,막창,맛있따,,23000,2023-05-25 10:16:00,2023-05-25 10:16:00
26,3,20,염통,맛있따,,15000,2023-05-25 10:16:00,2023-05-25 10:16:00
27,5,17,후무스피자,맛있따,,16000,2023-05-25 10:16:00,2023-05-25 10:16:00
28,5,17,스테이크하와이안피자,맛있따,,17000,2023-05-25 10:16:00,2023-05-25 10:16:00
29,5,17,감자웨지,맛있따,,7000,2023-05-25 10:16:00,2023-05-25 10:16:00
30,5,17,비건먹물파스타,맛있따,,14000,2023-05-25 10:16:00,2023-05-25 10:16:00
31,5,17,라구리가토니,맛있따,,15000,2023-05-25 10:16:00,2023-05-25 10:16:00
32,5,17,트러플버섯리조또,맛있따,,16000,2023-05-25 10:16:00,2023-05-25 10:16:00
33,5,17,알리오올리오스파게티,맛있따,,13000,2023-05-25 10:16:00,2023-05-25 10:16:00
34,5,17,남미토마토페투치네,맛있따,,14000,2023-05-25 10:16:00,2023-05-25 10:16:00
35,5,17,로제크림페투치네,맛있따,,14000,2023-05-25 10:16:00,2023-05-25 10:16:00
36,5,17,마르게리따피자,맛있따,,16000,2023-05-25 10:16:00,2023-05-25 10:16:00
37,5,17,오렌지카르파초샐러드,맛있따,,13000,2023-05-25 10:16:00,2023-05-25 10:16:00
38,5,17,후무스플래터,맛있따,,10000,2023-05-25 10:16:00,2023-05-25 10:16:00
39,6,2,마르게리따,맛있따,,12300,2023-05-25 10:16:00,2023-05-25 10:16:00
40,6,2,만조 (200g),맛있따,,18800,2023-05-25 10:16:00,2023-05-25 10:16:00
41,6,2,알리오 올리오,맛있따,,11200,2023-05-25 10:16:00,2023-05-25 10:16:00
42,6,2,봉골레,맛있따,,12100,2023-05-25 10:16:00,2023-05-25 10:16:00
43,6,2,바질마레,맛있따,,12500,2023-05-25 10:16:00,2023-05-25 10:16:00
44,7,1,아메리카노,맛있따,,3500,2023-05-25 10:16:00,2023-05-25 10:16:00
45,7,1,라떼,맛있따,,4000,2023-05-25 10:16:00,2023-05-25 10:16:00
46,7,1,카카오 카푸치노,맛있따,,4000,2023-05-25 10:16:00,2023-05-25 10:16:00
47,7,1,Black Coffee,맛있따,,5000,2023-05-25 10:16:00,2023-05-25 10:16:00
48,7,1,Cafe Lait (Hot),맛있따,,5500,2023-05-25 10:16:00,2023-05-25 10:16:00
49,9,7,아보카도 그릴파히타 (2~3인용),맛있따,,34000,2023-05-25 10:16:00,2023-05-25 10:16:00
50,9,7,아보카도 연어포케 (생연어덮밥),맛있따,,14800,2023-05-25 10:16:00,2023-05-25 10:16:00
51,9,7,아보카도 고기 부리또 볼,맛있따,,12500,2023-05-25 10:16:00,2023-05-25 10:16:00
52,9,7,아보카도 치킨 퀘 사디아,맛있따,,13500,2023-05-25 10:16:00,2023-05-25 10:16:00
53,9,7,아보카도 루꼴라 베이컨 퀘 사디아,맛있따,,14500,2023-05-25 10:16:00,2023-05-25 10:16:00
54,11,19,유니자장면,맛있따,,6000,2023-05-25 10:16:00,2023-05-25 10:16:00
55,11,19,짬뽕,맛있따,,7000,2023-05-25 10:16:00,2023-05-25 10:16:00
56,11,19,짬뽕밥,맛있따,,7000,2023-05-25 10:16:00,2023-05-25 10:16:00
57,11,19,새우볶음밥,맛있따,,8000,2023-05-25 10:16:00,2023-05-25 10:16:00
58,11,19,호유우육면,맛있따,,30000,2023-05-25 10:16:00,2023-05-25 10:16:00
59,13,6,시골보쌈 (2인),맛있따,,36000,2023-05-25 10:16:00,2023-05-25 10:16:00
60,13,6,모둠보쌈,맛있따,,63000,2023-05-25 10:16:00,2023-05-25 10:16:00
61,13,6,반반보쌈 (2인),맛있따,,39000,2023-05-25 10:16:00,2023-05-25 10:16:00
62,13,6,보족세트,맛있따,,49000,2023-05-25 10:16:00,2023-05-25 10:16:00
63,13,6,찢어먹는 족발,맛있따,,38000,2023-05-25 10:16:00,2023-05-25 10:16:00
64,14,7,쯔왕돈까스,맛있따,,9800,2023-05-25 10:16:00,2023-05-25 10:16:00
65,14,7,과카몰리치즈돈까스,맛있따,,14000,2023-05-25 10:16:00,2023-05-25 10:16:00
66,14,7,비후까스,맛있따,,12200,2023-05-25 10:16:00,2023-05-25 10:16:00
67,14,7,함박스테이크,맛있따,,10000,2023-05-25 10:16:00,2023-05-25 10:16:00
68,14,7,김치볶음밥&달걀프라이,맛있따,,7500,2023-05-25 10:16:00,2023-05-25 10:16:00
69,14,7,매콤토마토스파게티,맛있따,,8000,2023-05-25 10:16:00,2023-05-25 10:16:00
70,14,7,치즈폭탄오븐스파게티,맛있따,,12000,2023-05-25 10:16:00,2023-05-25 10:16:00
71,15,7,갈릭스페셜 피자 (R),맛있따,,15900,2023-05-25 10:16:00,2023-05-25 10:16:00
72,15,7,고구마피자 (R),맛있따,,15900,2023-05-25 10:16:00,2023-05-25 10:16:00
73,15,7,슈프림피자 (R),맛있따,,14900,2023-05-25 10:16:00,2023-05-25 10:16:00
74,15,7,페퍼로니 (R),맛있따,,14900,2023-05-25 10:16:00,2023-05-25 10:16:00
75,15,7,하와이언피자 (R),맛있따,,14900,2023-05-25 10:16:00,2023-05-25 10:16:00
76,18,19,"훈제오리,삼겹 3인세트",맛있따,,59000,2023-05-25 10:16:00,2023-05-25 10:16:00
77,18,19,"훈제오리,삼겹 2인세트",맛있따,,39000,2023-05-25 10:16:00,2023-05-25 10:16:00
78,18,19,새콤달콤 가오리무침,맛있따,,15000,2023-05-25 10:16:00,2023-05-25 10:16:00
79,18,19,칼칼하고 푸짐한 육개장,맛있따,,7000,2023-05-25 10:16:00,2023-05-25 10:16:00
80,18,19,차돌해장라면,맛있따,,4500,2023-05-25 10:16:00,2023-05-25 10:16:00
81,19,1,패밀리박스 16개,맛있따,,30000,2023-05-25 10:16:00,2023-05-25 10:16:00
82,19,1,CREAM9 BOX,맛있따,,17000,2023-05-25 10:16:00,2023-05-25 10:16:00
83,19,1,JMT BOX,맛있따,,15000,2023-05-25 10:16:00,2023-05-25 10:16:00
84,20,3,제육쌈밥,맛있따,,8000,2023-05-25 10:16:00,2023-05-25 10:16:00
85,20,3,소불고기쌈밥,맛있따,,10000,2023-05-25 10:16:00,2023-05-25 10:16:00
86,20,3,부대찌개,맛있따,,6000,2023-05-25 10:16:00,2023-05-25 10:16:00
87,20,3,생삼겹살 (200g),맛있따,,12000,2023-05-25 10:16:00,2023-05-25 10:16:00
88,20,3,오리로스 (200g),맛있따,,10000,2023-05-25 10:16:00,2023-05-25 10:16:00
89,21,20,새우전,맛있따,,19000,2023-05-25 10:16:00,2023-05-25 10:16:00
